% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 55.70 s, time offset 27.85 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2022-09-09 T 13:04:18 -0400
% Time (s), Channel A (V), Channel B (V)
1.0374693120e+00, 2.6384747980e-04, 1.9882446713e+00
1.0408820400e+00, -1.0260735326e-04, 1.9904653876e+00
1.0442947680e+00, 6.9626418281e-04, 1.9877682800e+00
1.0477074960e+00, 4.9837857296e-04, 1.9875923817e+00
1.0511202240e+00, -6.6694779616e-04, 1.9866102828e+00
1.0545329520e+00, -4.4707489633e-04, 1.9886331134e+00
1.0579456800e+00, -5.4235315292e-04, 1.9901868819e+00
1.0613584080e+00, -6.0098592621e-04, 1.9888749736e+00
1.0647711360e+00, 4.4707489633e-04, 1.9880467857e+00
1.0681838640e+00, 4.2508760635e-04, 1.9865663082e+00
1.0715965920e+00, -5.3502405626e-04, 1.9897764525e+00
1.0750093200e+00, -5.6434044291e-04, 1.9890288847e+00
1.0784220480e+00, 2.7117657646e-04, 1.9889262773e+00
1.0818347760e+00, 1.7589831987e-03, 1.9883106332e+00
1.0852475040e+00, 1.4145156556e-03, 1.9871453068e+00
1.0886602320e+00, 2.4918928648e-04, 1.9898497435e+00
1.0920729600e+00, 6.6694779616e-04, 1.9890142265e+00
1.0954856880e+00, 1.0407317259e-03, 1.9885524934e+00
1.0988984160e+00, 1.2825919157e-03, 1.9874238125e+00
1.1023111440e+00, 9.0880798598e-04, 1.9871526359e+00
1.1057238720e+00, 1.6856922321e-04, 1.9901795528e+00
1.1091366000e+00, 3.4446754307e-04, 1.9893000612e+00
1.1125493280e+00, 4.6906218631e-04, 1.9886770880e+00
1.1159620560e+00, 8.2818792271e-04, 1.9884352278e+00
1.1193747840e+00, 4.1775850968e-04, 1.9873725088e+00
1.1227875120e+00, -1.0773772092e-03, 1.9896225415e+00
1.1262002400e+00, -4.8372037963e-04, 1.9887137335e+00
1.1296129680e+00, 3.1515115643e-04, 1.9886331134e+00
1.1330256960e+00, -2.9316386644e-05, 1.9865589791e+00
1.1364384240e+00, -5.2036586294e-04, 1.9880321275e+00
1.1398511520e+00, -9.6744075927e-04, 1.9904507294e+00
1.1432638800e+00, -4.1042941302e-04, 1.9881274058e+00
1.1466766080e+00, 2.6384747980e-04, 1.9873651797e+00
1.1500893360e+00, 5.4235315292e-04, 1.9852397417e+00
1.1535020640e+00, -7.1092237613e-04, 1.9869254339e+00
1.1569147920e+00, -1.1360099825e-03, 1.9887430499e+00
1.1603275200e+00, -9.4545346928e-04, 1.9870720159e+00
1.1637402480e+00, 6.3030231286e-04, 1.9866689155e+00
1.1671529760e+00, 3.9577121970e-04, 1.9844848447e+00
1.1705657040e+00, -3.5179663973e-04, 1.9864123972e+00
1.1739784320e+00, -1.8029577786e-03, 1.9892121121e+00
1.1773911600e+00, -8.5750430935e-04, 1.9866835737e+00
1.1808038880e+00, 8.4284611603e-04, 1.9878049255e+00
1.1842166160e+00, 8.4284611603e-04, 1.9860386132e+00
1.1876293440e+00, 1.3192373990e-04, 1.9875923817e+00
1.1910420720e+00, -1.0260735326e-04, 1.9886037971e+00
1.1944548000e+00, 1.6124012654e-04, 1.9878342419e+00
1.1978675280e+00, -5.1303676628e-05, 1.9868887884e+00
1.2012802560e+00, -9.2346617930e-04, 1.9852690581e+00
1.2046929840e+00, -1.3998574623e-03, 1.9876949891e+00
1.2081057120e+00, -1.2606046257e-03, 1.9895639087e+00
1.2115184400e+00, -1.0334026292e-03, 1.9873285342e+00
1.2149311680e+00, -1.6490467488e-03, 1.9870060540e+00
1.2183438960e+00, -1.7663122953e-03, 1.9855695510e+00
1.2217566240e+00, -1.2239591424e-03, 1.9893073903e+00
1.2251693520e+00, -1.8322741653e-03, 1.9879734947e+00
1.2285820800e+00, -6.8893508615e-04, 1.9878855456e+00
1.2319948080e+00, 8.0620063272e-05, 1.9875777235e+00
1.2354075360e+00, -6.7427689282e-04, 1.9864490426e+00
1.2388202640e+00, -2.3599691249e-03, 1.9896958325e+00
1.2422329920e+00, -2.3233236416e-03, 1.9876510145e+00
1.2456457200e+00, -8.9414979266e-04, 1.9870133831e+00
1.2490584480e+00, -5.0570766962e-04, 1.9872259269e+00
1.2524711760e+00, -1.1726554658e-03, 1.9869767376e+00
1.2558839040e+00, -1.7296668120e-03, 1.9903114766e+00
1.2592966320e+00, -9.9675714591e-04, 1.9885964680e+00
1.2627093600e+00, -2.2720199649e-04, 1.9882446713e+00
1.2661220880e+00, -3.4446754307e-04, 1.9861632079e+00
1.2695348160e+00, -7.7688424608e-04, 1.9865516500e+00
1.2729475440e+00, -1.2899210124e-03, 1.9902821602e+00
1.2763602720e+00, -1.3851992690e-03, 1.9885818098e+00
1.2797730000e+00, 6.5961869950e-05, 1.9886477716e+00
1.2831857280e+00, -1.0993644992e-03, 1.9872185978e+00
1.2865984560e+00, -9.4545346928e-04, 1.9885011897e+00
1.2900111840e+00, -9.3079527596e-04, 1.9904873749e+00
1.2934239120e+00, -1.4584902356e-03, 1.9885598225e+00
1.2968366400e+00, -8.5017521269e-04, 1.9889042900e+00
1.3002493680e+00, -7.8421334274e-04, 1.9874824453e+00
1.3036620960e+00, -1.1066935958e-03, 1.9888823027e+00
1.3070748240e+00, -1.9861851952e-03, 1.9901282492e+00
